"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20220530.csv"
"C","Report for 05/30/2022"
"C","Report generated 08/12/2024 16:43:47 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","05/30/2022","08:11:39","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","08:11:39","Other","Other",0,"No"
"D","05/30/2022","08:11:39","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","08:11:39","Refuse","Renewables",365,"No"
"D","05/30/2022","08:11:39","Solar","Renewables",252,"No"
"D","05/30/2022","08:11:39","Wind","Renewables",344,"No"
"D","05/30/2022","08:11:39","Wood","Renewables",171,"No"
"D","05/30/2022","08:27:28","Coal","Coal",15,"No"
"D","05/30/2022","08:27:28","Hydro","Hydro",643,"No"
"D","05/30/2022","08:27:28","Natural Gas","Natural Gas",3868,"Yes"
